,precision,recall,f1-score,support
268,1.0,1.0,1.0,2.0
269,1.0,0.8461538461538461,0.9166666666666666,13.0
270,1.0,1.0,1.0,2.0
271,1.0,1.0,1.0,1.0
272,0.0,0.0,0.0,1.0
273,1.0,1.0,1.0,2.0
274,0.8,1.0,0.8888888888888888,8.0
275,1.0,1.0,1.0,1.0
276,0.875,1.0,0.9333333333333333,21.0
277,1.0,0.8333333333333334,0.9090909090909091,6.0
278,1.0,1.0,1.0,1.0
279,1.0,1.0,1.0,2.0
280,1.0,1.0,1.0,1.0
281,1.0,1.0,1.0,1.0
282,1.0,1.0,1.0,1.0
283,0.0,0.0,0.0,2.0
284,1.0,1.0,1.0,1.0
285,1.0,1.0,1.0,1.0
286,0.5454545454545454,1.0,0.7058823529411765,6.0
287,0.5,1.0,0.6666666666666666,1.0
288,1.0,1.0,1.0,4.0
289,1.0,1.0,1.0,4.0
290,1.0,1.0,1.0,1.0
291,1.0,1.0,1.0,1.0
292,0.0,0.0,0.0,1.0
293,0.6,0.75,0.6666666666666666,4.0
294,0.0,0.0,0.0,1.0
295,1.0,1.0,1.0,4.0
296,1.0,1.0,1.0,1.0
297,1.0,1.0,1.0,17.0
298,0.0,0.0,0.0,1.0
299,0.8846153846153846,0.7419354838709677,0.8070175438596491,31.0
300,1.0,0.3333333333333333,0.5,3.0
301,0.0,0.0,0.0,1.0
302,0.0,0.0,0.0,1.0
303,0.0,0.0,0.0,1.0
304,1.0,1.0,1.0,1.0
305,1.0,1.0,1.0,1.0
306,0.5,1.0,0.6666666666666666,1.0
307,1.0,1.0,1.0,1.0
308,0.0,0.0,0.0,1.0
309,0.0,0.0,0.0,1.0
310,1.0,1.0,1.0,4.0
311,1.0,1.0,1.0,1.0
312,0.8,0.9411764705882353,0.8648648648648649,17.0
313,0.0,0.0,0.0,3.0
314,0.0,0.0,0.0,1.0
315,1.0,1.0,1.0,2.0
316,0.0,0.0,0.0,1.0
317,0.0,0.0,0.0,1.0
318,0.0,0.0,0.0,1.0
319,1.0,1.0,1.0,1.0
320,1.0,1.0,1.0,3.0
321,1.0,1.0,1.0,1.0
322,1.0,1.0,1.0,1.0
323,0.0,0.0,0.0,2.0
324,1.0,0.5,0.6666666666666666,2.0
325,1.0,1.0,1.0,1.0
326,0.9047619047619048,0.95,0.926829268292683,20.0
327,1.0,0.3333333333333333,0.5,3.0
328,1.0,1.0,1.0,2.0
329,0.75,1.0,0.8571428571428571,3.0
330,1.0,1.0,1.0,1.0
331,1.0,1.0,1.0,3.0
332,0.3333333333333333,1.0,0.5,1.0
333,1.0,1.0,1.0,1.0
334,1.0,1.0,1.0,1.0
335,0.16666666666666666,1.0,0.2857142857142857,1.0
336,0.0,0.0,0.0,2.0
337,1.0,1.0,1.0,1.0
338,1.0,1.0,1.0,1.0
339,1.0,1.0,1.0,1.0
340,0.0,0.0,0.0,1.0
