,precision,recall,f1-score,support
237,1.0,1.0,1.0,1.0
238,1.0,0.6666666666666666,0.8,3.0
239,0.0,0.0,0.0,1.0
240,1.0,0.6666666666666666,0.8,3.0
241,0.5,1.0,0.6666666666666666,1.0
242,0.0,0.0,0.0,2.0
243,1.0,1.0,1.0,4.0
244,0.0,0.0,0.0,1.0
245,0.5,1.0,0.6666666666666666,1.0
246,1.0,1.0,1.0,1.0
247,1.0,1.0,1.0,2.0
248,0.0,0.0,0.0,3.0
249,1.0,1.0,1.0,1.0
250,0.0,0.0,0.0,1.0
251,1.0,1.0,1.0,6.0
252,1.0,1.0,1.0,3.0
253,1.0,0.75,0.8571428571428571,4.0
254,0.0,0.0,0.0,2.0
255,0.0,0.0,0.0,1.0
256,0.0,0.0,0.0,1.0
257,0.5,1.0,0.6666666666666666,3.0
258,1.0,0.5,0.6666666666666666,2.0
259,0.0,0.0,0.0,1.0
260,0.5,1.0,0.6666666666666666,1.0
261,0.9,0.8181818181818182,0.8571428571428571,11.0
262,0.0,0.0,0.0,1.0
263,0.0,0.0,0.0,1.0
264,1.0,1.0,1.0,2.0
265,0.045454545454545456,0.6666666666666666,0.0851063829787234,3.0
266,1.0,1.0,1.0,1.0
267,0.9230769230769231,1.0,0.96,12.0
268,1.0,1.0,1.0,2.0
269,1.0,0.8461538461538461,0.9166666666666666,13.0
270,1.0,1.0,1.0,2.0
271,0.0,0.0,0.0,1.0
272,0.0,0.0,0.0,1.0
273,0.0,0.0,0.0,2.0
274,0.8888888888888888,1.0,0.9411764705882353,8.0
275,1.0,1.0,1.0,1.0
276,1.0,1.0,1.0,21.0
277,1.0,0.8333333333333334,0.9090909090909091,6.0
278,1.0,1.0,1.0,1.0
279,1.0,1.0,1.0,2.0
280,1.0,1.0,1.0,1.0
281,1.0,1.0,1.0,1.0
282,1.0,1.0,1.0,1.0
283,0.0,0.0,0.0,2.0
284,1.0,1.0,1.0,1.0
285,0.0,0.0,0.0,1.0
286,0.75,1.0,0.8571428571428571,6.0
287,1.0,1.0,1.0,1.0
288,0.5714285714285714,1.0,0.7272727272727273,4.0
289,1.0,1.0,1.0,4.0
290,1.0,1.0,1.0,1.0
291,1.0,1.0,1.0,1.0
292,0.0,0.0,0.0,1.0
293,0.6,0.75,0.6666666666666666,4.0
294,0.0,0.0,0.0,1.0
295,1.0,0.75,0.8571428571428571,4.0
296,1.0,1.0,1.0,1.0
297,1.0,1.0,1.0,17.0
298,0.0,0.0,0.0,1.0
299,0.9565217391304348,0.7096774193548387,0.8148148148148148,31.0
300,0.0,0.0,0.0,3.0
301,0.0,0.0,0.0,1.0
302,0.0,0.0,0.0,1.0
303,0.0,0.0,0.0,1.0
304,1.0,1.0,1.0,1.0
305,1.0,1.0,1.0,1.0
306,0.25,1.0,0.4,1.0
307,1.0,1.0,1.0,1.0
308,0.0,0.0,0.0,1.0
309,0.0,0.0,0.0,1.0
310,0.8,1.0,0.8888888888888888,4.0
311,1.0,1.0,1.0,1.0
312,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0
313,0.0,0.0,0.0,3.0
314,0.0,0.0,0.0,1.0
315,1.0,0.5,0.6666666666666666,2.0
316,0.0,0.0,0.0,1.0
317,0.0,0.0,0.0,1.0
318,0.0,0.0,0.0,1.0
319,1.0,1.0,1.0,1.0
320,1.0,1.0,1.0,3.0
321,0.0,0.0,0.0,1.0
322,0.0,0.0,0.0,1.0
323,0.0,0.0,0.0,2.0
324,1.0,0.5,0.6666666666666666,2.0
325,1.0,1.0,1.0,1.0
326,0.95,0.95,0.95,20.0
327,1.0,0.6666666666666666,0.8,3.0
328,0.0,0.0,0.0,2.0
329,0.75,1.0,0.8571428571428571,3.0
330,1.0,1.0,1.0,1.0
331,0.5,1.0,0.6666666666666666,3.0
332,0.3333333333333333,1.0,0.5,1.0
333,1.0,1.0,1.0,1.0
334,0.5,1.0,0.6666666666666666,1.0
335,0.3333333333333333,1.0,0.5,1.0
336,0.0,0.0,0.0,2.0
337,1.0,1.0,1.0,1.0
338,0.0,0.0,0.0,1.0
339,0.0,0.0,0.0,1.0
340,1.0,1.0,1.0,1.0
341,0.75,1.0,0.8571428571428571,3.0
342,1.0,1.0,1.0,1.0
343,0.8,1.0,0.8888888888888888,4.0
344,0.0,0.0,0.0,1.0
345,0.0,0.0,0.0,1.0
346,0.5,1.0,0.6666666666666666,2.0
347,0.8,0.5714285714285714,0.6666666666666666,7.0
348,1.0,1.0,1.0,1.0
349,1.0,1.0,1.0,1.0
350,1.0,1.0,1.0,1.0
351,0.25,0.1,0.14285714285714285,10.0
352,1.0,1.0,1.0,1.0
353,1.0,1.0,1.0,2.0
354,1.0,1.0,1.0,1.0
355,0.0,0.0,0.0,1.0
356,1.0,1.0,1.0,7.0
357,1.0,1.0,1.0,2.0
358,0.8,1.0,0.8888888888888888,4.0
359,1.0,1.0,1.0,1.0
360,1.0,1.0,1.0,1.0
361,1.0,1.0,1.0,1.0
362,0.0,0.0,0.0,1.0
363,1.0,1.0,1.0,1.0
364,0.0,0.0,0.0,1.0
365,0.0,0.0,0.0,2.0
366,0.0,0.0,0.0,1.0
367,0.0,0.0,0.0,2.0
368,0.0,0.0,0.0,1.0
369,1.0,1.0,1.0,1.0
370,0.0,0.0,0.0,2.0
371,0.0,0.0,0.0,1.0
372,0.0,0.0,0.0,1.0
373,0.5,1.0,0.6666666666666666,1.0
374,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
375,1.0,1.0,1.0,8.0
376,0.0,0.0,0.0,1.0
377,0.0,0.0,0.0,2.0
378,0.0,0.0,0.0,1.0
379,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
380,1.0,1.0,1.0,1.0
381,0.0,0.0,0.0,2.0
382,1.0,0.5,0.6666666666666666,2.0
383,0.0,0.0,0.0,1.0
384,0.0,0.0,0.0,2.0
385,0.6428571428571429,1.0,0.782608695652174,9.0
386,0.0,0.0,0.0,1.0
387,0.6666666666666666,1.0,0.8,2.0
388,1.0,0.5,0.6666666666666666,2.0
389,0.0,0.0,0.0,3.0
390,0.0,0.0,0.0,1.0
391,1.0,1.0,1.0,1.0
392,1.0,1.0,1.0,4.0
393,1.0,1.0,1.0,6.0
394,1.0,1.0,1.0,3.0
395,0.5,1.0,0.6666666666666666,3.0
396,1.0,1.0,1.0,1.0
397,0.5,1.0,0.6666666666666666,1.0
398,0.0,0.0,0.0,1.0
399,0.0,0.0,0.0,1.0
400,1.0,1.0,1.0,1.0
401,0.625,0.7142857142857143,0.6666666666666666,7.0
402,1.0,1.0,1.0,1.0
403,1.0,1.0,1.0,1.0
404,1.0,1.0,1.0,1.0
405,0.0,0.0,0.0,1.0
406,1.0,1.0,1.0,2.0
407,1.0,1.0,1.0,1.0
408,0.4444444444444444,1.0,0.6153846153846154,4.0
409,1.0,1.0,1.0,1.0
410,1.0,0.5,0.6666666666666666,2.0
411,1.0,1.0,1.0,1.0
412,1.0,1.0,1.0,1.0
413,0.0,0.0,0.0,1.0
414,0.0,0.0,0.0,1.0
415,1.0,1.0,1.0,1.0
416,0.0,0.0,0.0,2.0
417,1.0,1.0,1.0,1.0
418,1.0,1.0,1.0,1.0
419,0.0,0.0,0.0,1.0
420,1.0,1.0,1.0,1.0
421,0.6666666666666666,1.0,0.8,2.0
422,1.0,1.0,1.0,1.0
423,0.14285714285714285,1.0,0.25,1.0
424,0.0,0.0,0.0,1.0
425,0.0,0.0,0.0,1.0
426,1.0,1.0,1.0,1.0
427,1.0,1.0,1.0,1.0
428,1.0,1.0,1.0,1.0
429,1.0,1.0,1.0,2.0
430,1.0,1.0,1.0,1.0
431,1.0,1.0,1.0,1.0
432,0.5,0.6666666666666666,0.5714285714285714,6.0
433,0.0,0.0,0.0,1.0
434,1.0,0.25,0.4,4.0
435,0.7,0.5,0.5833333333333334,14.0
436,0.5,0.5,0.5,2.0
437,0.0,0.0,0.0,1.0
438,0.0,0.0,0.0,1.0
439,0.0,0.0,0.0,1.0
440,0.0,0.0,0.0,1.0
441,0.0,0.0,0.0,1.0
442,0.6666666666666666,1.0,0.8,2.0
443,0.0,0.0,0.0,1.0
444,0.5,0.5294117647058824,0.5142857142857142,34.0
445,0.0,0.0,0.0,2.0
446,0.0,0.0,0.0,1.0
447,0.5,0.5,0.5,2.0
448,0.0,0.0,0.0,2.0
449,0.0,0.0,0.0,1.0
450,0.5,1.0,0.6666666666666666,1.0
451,0.0,0.0,0.0,5.0
452,0.0,0.0,0.0,1.0
453,1.0,1.0,1.0,1.0
454,0.0,0.0,0.0,1.0
455,0.0,0.0,0.0,1.0
456,1.0,1.0,1.0,1.0
457,0.5,1.0,0.6666666666666666,1.0
458,0.4,0.5,0.4444444444444444,4.0
459,0.0,0.0,0.0,1.0
460,0.0,0.0,0.0,3.0
461,1.0,1.0,1.0,1.0
462,0.15384615384615385,0.4444444444444444,0.22857142857142856,9.0
463,1.0,1.0,1.0,1.0
464,0.0,0.0,0.0,1.0
465,0.0,0.0,0.0,2.0
466,0.0,0.0,0.0,1.0
467,0.0,0.0,0.0,3.0
468,0.0,0.0,0.0,1.0
469,0.0,0.0,0.0,1.0
470,1.0,1.0,1.0,1.0
471,0.25,0.09090909090909091,0.13333333333333333,11.0
472,0.0,0.0,0.0,2.0
473,0.5,0.5,0.5,4.0
474,0.0,0.0,0.0,1.0
475,0.0,0.0,0.0,6.0
