Model,Nb_Layer_Block,Dropout,Input_Type,Layer_size,pLDDT_threshold,F1_Score
ProstT5_full,3,0.3,AA,1024,0.0,0.779137124942525
ProstT5_full,1,0.5,AA,256,0.0,0.7554233854645871
ProstT5_full,2,0.5,AA,256,0.0,0.7267544457377215
ProstT5_full,3,0.5,AA,256,0.0,0.6879503829371894
ProstT5_full,1,0.5,AA,512,0.0,0.7612275578281321
ProstT5_full,2,0.5,AA,512,0.0,0.755415752005513
ProstT5_full,3,0.5,AA,512,0.0,0.7304032557184184
ProstT5_full,1,0.5,AA,1024,0.0,0.7611371663388191
ProstT5_full,2,0.5,AA,1024,0.0,0.7762434477093842
ProstT5_full,3,0.5,AA,1024,0.0,0.7661867873449766
ProstT5_full,2,0.2,AA,1024,0.0,0.7881363110896595
ProstT5_full,2,0.4,AA+3Di,2048,0.0,0.7957813202818756
ProstT5_full,3,0.3,AA+3Di,2048,4.0,0.795382161724429
ProstT5_full,3,0.3,AA+3Di,2048,14.0,0.7935112601303191
ProstT5_full,3,0.3,AA+3Di,2048,24.0,0.7987639734104098
ProstT5_full,3,0.3,AA+3Di,2048,34.0,0.791963188437935
ProstT5_full,3,0.3,AA+3Di,2048,44.0,0.7927584670187817
ProstT5_full,3,0.3,AA+3Di,2048,54.0,0.7886525847687832
ProstT5_full,3,0.3,AA+3Di,2048,64.0,0.7893530137334176
ProstT5_full,3,0.3,AA+3Di,2048,74.0,0.7756606108389585
ProstT5_full,3,0.3,AA+3Di,2048,84.0,0.7112401528005329
ProstT5_full,2,0.3,AA+3Di,2048,4.0,0.8000257096040586
ProstT5_full,2,0.3,AA+3Di,2048,14.0,0.8035081827427621
ProstT5_full,2,0.3,AA+3Di,2048,24.0,0.8058135440386279
ProstT5_full,2,0.3,AA+3Di,2048,34.0,0.8020175102160588
ProstT5_full,2,0.3,AA+3Di,2048,44.0,0.8039287603061724
ProstT5_full,2,0.3,AA+3Di,2048,54.0,0.802677344965979
ProstT5_full,2,0.3,AA+3Di,2048,64.0,0.7976049833341101
ProstT5_full,2,0.3,AA+3Di,2048,74.0,0.7781292641159113
ProstT5_full,2,0.3,AA+3Di,2048,84.0,0.7205398699740183
ProstT5_full,3,0.3,AA+3Di,2048,0.0,0.7930914384708326
ProstT5_full,1,0.0,3Di,512,0.0,0.6398601425393236
ProstT5_full,1,0.0,3Di,512,14.0,0.6307436849143773
ProstT5_full,2,0.0,3Di,512,0.0,0.6231601691935451
ProstT5_full,2,0.0,3Di,512,14.0,0.6083947186266095
ProstT5_full,1,0.0,3Di,512,24.0,0.6350015574855414
ProstT5_full,1,0.0,3Di,512,34.0,0.6386209998053461
ProstT5_full,1,0.0,3Di,512,44.0,0.6387500109025687
ProstT5_full,1,0.0,3Di,512,54.0,0.6330199916972126
ProstT5_full,1,0.0,3Di,512,64.0,0.6239341723744853
ProstT5_full,2,0.0,3Di,512,24.0,0.63137182775607
ProstT5_full,2,0.0,3Di,512,34.0,0.6301665478590404
ProstT5_full,2,0.0,3Di,512,44.0,0.6324661138205625
ProstT5_full,2,0.0,3Di,512,54.0,0.6212602858288625
ProstT5_full,2,0.0,3Di,512,64.0,0.620757582959345
ProstT5_full,3,0.0,3Di,512,0.0,0.6014535734039624
ProstT5_full,3,0.0,3Di,512,14.0,0.61416498086321
ProstT5_full,3,0.0,3Di,512,24.0,0.6051481169620708
ProstT5_full,3,0.0,3Di,512,34.0,0.6099787108599851
ProstT5_full,3,0.0,3Di,512,44.0,0.61052817459525
ProstT5_full,3,0.0,3Di,512,54.0,0.616453733969229
ProstT5_full,3,0.0,3Di,512,64.0,0.5994386817349038
ProstT5_full,1,0.0,3Di,1024,0.0,0.6416863256622914
ProstT5_full,1,0.0,3Di,1024,14.0,0.6384477355543101
ProstT5_full,1,0.0,3Di,1024,24.0,0.6353692813594145
ProstT5_full,1,0.0,3Di,1024,34.0,0.639264800808163
ProstT5_full,1,0.0,3Di,1024,44.0,0.6334403546610077
ProstT5_full,1,0.0,3Di,1024,54.0,0.6356351803824183
ProstT5_full,1,0.0,3Di,1024,64.0,0.6359010074487268
