224,1142,1
225,225,1
226,850,1
227,227,1
228,1012,1
229,229,2
230,230,1
231,231,1
232,117,1
232,232,1
232,816,1
233,1355,1
234,234,3
235,235,1
236,7,1
236,254,1
237,237,4
238,1043,1
239,239,1
240,970,1
241,241,2
242,1586,1
242,1681,1
242,1682,1
243,243,1
244,397,1
245,245,6
246,246,2
246,263,1
247,247,4
248,1044,1
249,903,1
250,250,2
250,617,1
251,251,2
252,252,1
253,1222,1
254,254,11
255,255,1
256,256,1
257,257,2
258,258,2
258,1531,1
259,1666,1
260,260,12
261,261,2
262,262,11
262,1628,2
263,263,2
264,264,1
265,730,1
266,128,1
266,800,1
267,267,8
268,268,1
269,269,21
270,270,5
270,1142,1
271,271,1
272,272,2
273,273,1
274,274,1
275,275,1
276,276,2
277,435,1
278,1528,1
279,279,5
279,555,1
280,280,1
281,281,4
282,282,4
283,283,1
284,284,1
285,286,1
286,285,1
286,286,2
286,1177,1
287,286,1
288,288,4
289,289,1
290,290,17
291,1254,1
292,292,25
292,304,1
292,717,1
292,956,1
292,985,1
292,1538,1
292,1621,1
293,293,3
294,842,1
295,1541,1
296,296,1
297,297,1
298,1292,1
299,299,1
300,1362,1
301,134,1
302,302,3
302,763,1
303,303,1
304,304,14
304,782,1
304,900,1
304,1531,1
305,305,3
306,1531,1
307,307,2
308,308,1
309,1621,1
310,310,1
311,311,3
312,312,1
313,313,1
314,1516,1
314,1524,1
315,0,1
315,948,1
316,316,1
317,317,16
317,318,1
317,907,1
317,1044,1
317,1432,1
318,318,2
318,1432,1
319,319,2
320,320,3
321,321,1
322,322,3
323,323,1
324,324,1
325,325,1
326,326,1
327,1043,1
327,1292,1
328,328,1
329,1432,1
330,330,1
331,331,1
332,332,3
333,333,1
334,334,3
334,1528,1
335,1419,1
336,336,1
337,337,2
338,338,4
338,399,2
338,555,1
339,339,1
340,340,1
341,341,1
342,154,1
342,338,2
342,342,3
342,399,1
342,1234,1
342,1236,1
342,1358,1
343,343,1
344,344,2
345,345,1
346,1547,1
347,347,7
348,348,2
349,349,4
350,842,1
351,1558,1
352,352,1
353,353,1
354,555,1
355,355,1
356,356,2
357,357,1
358,0,1
358,939,1
359,1531,1
360,360,1
361,361,1
361,1236,1
362,392,1
363,1538,1
364,364,1
365,365,7
365,659,1
365,696,1
365,717,1
365,1495,1
365,1531,2
366,366,8
367,384,1
368,368,2
369,365,1
370,281,1
370,370,12
370,1511,1
371,371,1
372,342,2
373,373,1
373,779,1
374,374,1
375,375,2
376,376,9
377,377,1
378,378,1
378,518,1
379,379,1
379,1315,1
380,95,1
380,220,1
380,850,1
381,1043,1
382,382,1
383,383,4
384,384,6
385,385,3
386,386,3
387,387,1
388,388,1
389,1004,1
390,750,1
391,391,1
392,292,1
392,392,6
393,393,1
394,394,1
395,1218,1
